"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","47/459","483/8541",0.0973084886128364,1.81070109203102,4.37115842410458,4.5742363215179e-05,0.00923970865928059,0.00872613901909431,"1856/5704/3028/4842/5714/4713/4744/80208/4747/6804/5691/4728/374291/2891/5605/10452/11047/4294/1329/3569/347733/5694/4726/774/143471/125965/2905/5702/4723/8772/2915/2861/4696/3265/64837/1351/8408/810/2903/4700/1133/56901/8632/7477/487/51465/4722",47
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","40/459","391/8541",0.10230179028133,1.90361566621534,4.35882247130267,5.75682782509694e-05,0.00923970865928059,0.00872613901909431,"1856/5704/5291/3028/4842/5714/4713/208/5691/4728/374291/5605/11047/8471/1329/3569/347733/83464/5694/4726/143471/125965/2905/5702/4723/8772/2915/4696/3265/64837/1351/8408/810/2903/4700/1133/56901/7477/487/4722",40
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","9/459","41/8541",0.219512195121951,4.08464849354376,4.71806589719564,0.000259207656507625,0.0231433524589174,0.0218569782199319,"1137/2891/774/1141/2905/2560/2567/2903/2558",9
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","32/459","311/8541",0.102893890675241,1.91463337746674,3.9156438004858,0.000288390684846323,0.0231433524589174,0.0218569782199319,"5439/5704/6507/5714/4713/5435/6804/5691/4728/374291/2891/11047/4294/1329/347733/5694/4726/774/143471/125965/5702/4723/2915/4696/64837/1351/8408/4700/56901/8632/160/4722",32
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","19/459","149/8541",0.12751677852349,2.37281221213318,4.02853726701441,0.000376461467911408,0.0235457778631618,0.0222370356602413,"108/22999/4713/4728/374291/2891/3762/4726/774/2560/4723/2786/2915/4696/2567/4700/56901/2558/4722",19
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","29/459","278/8541",0.10431654676259,1.94110593877839,3.80161288242171,0.000440107997442277,0.0235457778631618,0.0222370356602413,"5704/5291/5714/4713/5691/4728/730/374291/11047/1329/3569/347733/5694/4726/774/143471/4685/125965/2905/5702/4723/4696/64837/1351/2903/4700/56901/3304/4722",29
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","13/459","91/8541",0.142857142857143,2.65826330532213,3.78984708679971,0.00107956109500089,0.0495055873564694,0.0467539241143243,"933/5291/2213/4793/208/5605/640/25780/55024/5881/3265/5336/23547",13
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","34/459","370/8541",0.0918918918918919,1.70990990990991,3.32691994417501,0.00144638971997577,0.0580363875140276,0.054810557809608,"10886/51083/1137/2901/887/2891/140/2914/7425/4922/2922/183/5746/8001/150/84539/6750/1141/2905/2560/2915/10800/3952/797/1132/286530/2567/2903/2831/283869/1133/2558/84109/1269",34
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","15/459","122/8541",0.122950819672131,2.28784956605593,3.41421331423195,0.00219190500600571,0.0781779452142038,0.0738325896759819,"5291/1994/208/5518/5210/8789/8900/8471/5211/126129/3952/8408/9230/1978/84335",15
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","33/459","371/8541",0.0889487870619946,1.65514507689868,3.07460453521846,0.00286605200489648,0.0912918658367986,0.0862176007902869,"5704/4842/5714/4713/4744/80208/4747/5691/4728/374291/2891/10452/11047/1329/347733/144983/5694/4726/143471/125965/2905/5702/4723/4696/64837/1351/8408/2903/10189/4700/56901/8632/4722",33
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","16/459","139/8541",0.115107913669065,2.14191000141064,3.23462391625578,0.00312838169534201,0.0912918658367986,0.0862176007902869,"5291/108/208/3762/5605/25759/192666/3880/3860/54474/3265/810/3858/3868/3861/3304",16
"hsa00240","Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","9/459","58/8541",0.155172413793103,2.88742393509128,3.43703992148051,0.00350393087797311,0.0937301509857807,0.0885203590224786,"151531/30833/953/1807/7083/1841/9583/54963/56953",9
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","5/459","21/8541",0.238095238095238,4.43043884220355,3.75072640746189,0.00435685404996184,0.102320048953787,0.0966328057015597,"587/8876/8875/79646/1807",5
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","17/459","157/8541",0.10828025477707,2.01486199575372,3.05848979615961,0.00446255665219008,0.102320048953787,0.0966328057015597,"5291/4713/208/2931/4728/374291/1329/3569/4726/125965/4723/4696/3952/1351/4700/56901/4722",17
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","11/459","85/8541",0.129411764705882,2.4080738177624,3.10905391906339,0.00556975723229718,0.11919280477116,0.112567725115901,"151531/1716/270/30833/3704/953/7083/1841/9583/54963/56953",11
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","15/459","138/8541",0.108695652173913,2.02259164535379,2.88602744452284,0.0070809132096253,0.142060821268108,0.134164671340269,"4713/495/4728/374291/1329/4726/245972/125965/4723/4696/1351/4700/56901/496/4722",15
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","13/459","116/8541",0.112068965517241,2.08536173089926,2.80475156803994,0.00918431774231254,0.173421529134255,0.163782260667865,"5291/3785/108/1137/208/5294/774/1141/2786/3265/1132/1133/6572",13
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","7/459","46/8541",0.152173913043478,2.83162830349531,2.96831799683157,0.0107133179888802,0.182304842128809,0.172171813520568,"5704/5714/5691/11047/5694/143471/5702",7
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","24/459","271/8541",0.0885608856088561,1.64792706750597,2.5830562811105,0.0107906292848828,0.182304842128809,0.172171813520568,"5704/5714/4713/5691/4728/374291/11047/1329/347733/5694/4726/143471/125965/5702/4723/2861/4696/64837/1351/810/4700/56901/51465/4722",24
